"Day","Hour","Irradiance","Month","omega","delta","alpha_s","gamma_s","theta_i","IncidentFlux"
1,0,0,1,-180,-23.0116367278692,-69.9635367278693,-1.88500199985462e-14,129.963536727869,0
1,1,0,1,-165,-23.0116367278692,-66.4276002883083,-36.5623194824892,129.283320429727,0
1,2,0,1,-150,-23.0116367278692,-58.1420754666886,-60.682640426979,127.32572967356,0
1,3,0,1,-135,-23.0116367278692,-47.9419228924393,-76.3051765664373,124.311857045822,0
1,4,0,1,-120,-23.0116367278692,-37.0965589952534,-87.9543734845871,120.538438601456,0
1,5,0,1,-105,-23.0116367278692,-26.1635335287272,-82.1193818429748,108.682888180506,0
1,6,80.4199410661132,1,-90,-23.0116367278692,-15.4766359523838,-72.7570542333914,95.0633511437906,0
1,7,156.166167472056,1,-75,-23.0116367278692,-5.32218438901445,-63.2415064153564,81.731292141061,22.4591543601042
1,8,222.836583865445,1,-60,-23.0116367278692,3.98350477257233,-53.0387418651351,68.89530351693,80.2374997155836
1,9,276.5565479826,1,-45,-23.0116367278692,12.0505959417271,-41.721033590093,56.9221659927338,150.938433263063
1,10,314.204050773157,1,-30,-23.0116367278692,18.4011879237299,-29.0132351908481,46.5063683654461,216.258462140596
1,11,333.591156218033,1,-15,-23.0116367278692,22.5112400319048,-14.9438536278433,38.9357889316145,259.484130796419
1,12,333.591156218033,1,0,-23.0116367278692,23.9402632721308,0,36.0597367278692,269.676334432332
1,13,314.204050773157,1,15,-23.0116367278692,22.5112400319048,14.9438536278433,38.9357889316145,244.40385630097
1,14,276.5565479826,1,30,-23.0116367278692,18.4011879237299,29.0132351908481,46.5063683654461,190.346666806049
1,15,222.836583865445,1,45,-23.0116367278692,12.0505959417271,41.721033590093,56.9221659927338,121.6192676966
1,16,156.166167472056,1,60,-23.0116367278692,3.98350477257233,53.0387418651351,68.89530351693,56.2312641881508
1,17,80.4199410661133,1,75,-23.0116367278692,-5.32218438901445,63.2415064153564,81.731292141061,11.5656540675336
1,18,4.11531872380469e-14,1,90,-23.0116367278692,-15.4766359523838,72.7570542333914,95.0633511437906,0
1,19,0,1,105,-23.0116367278692,-26.1635335287272,82.1193818429748,108.682888180506,0
1,20,0,1,120,-23.0116367278692,-37.0965589952534,87.9543734845871,120.538438601456,0
1,21,0,1,135,-23.0116367278692,-47.9419228924393,76.3051765664373,124.311857045822,0
