"Month","Hour","mean_Irradiance","mean_IncidentFlux"
1,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,56.2723490766764,0
1,7,109.274353766683,16.7796149365258
1,8,155.925730211885,58.0870446155095
1,9,193.51526998414,108.478573790313
1,10,219.858405664303,154.968393353033
1,11,233.424169960046,185.70245954862
1,12,233.424169960046,192.923890213351
1,13,219.858405664303,174.91010760063
1,14,193.51526998414,136.40029085133
1,15,155.925730211885,87.4070600836027
1,16,109.274353766683,40.7079976726797
1,17,56.2723490766765,8.64089620787386
1,18,2.87961727797511e-14,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
2,0,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,18.228220760326,0
2,7,35.3970835869484,6.6484479329129
2,8,50.5087965786611,20.969862235574
2,9,62.6851219052276,38.2630240276414
2,10,71.2184157978095,54.1405294536334
2,11,75.6127542326312,64.6016156053967
2,12,75.6127542326312,67.0302828908794
2,13,71.2184157978095,60.8472045237296
2,14,62.6851219052276,47.653484717347
2,15,50.5087965786612,30.8305900723692
2,16,35.3970835869484,14.6958949062152
2,17,18.228220760326,3.4237107793636
2,18,9.32790265724581e-15,0
2,19,0,0
2,20,0,0
2,21,0,0
2,22,0,0
2,23,0,0
3,0,0,0
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,1.57336322534781,0.00860202319507733
3,7,3.05528829898104,0.701148514741977
3,8,4.35965112219859,2.01871236998936
3,9,5.41064686888101,3.59053203872856
3,10,6.14719548644523,5.02533484471317
3,11,6.52649144648369,5.96680006561892
3,12,6.5264914464837,6.18215564700788
3,13,6.14719548644523,5.62003133424092
3,14,5.41064686888101,4.42320604616877
3,15,4.35965112219859,2.89308605999828
3,16,3.05528829898104,1.41473436982874
3,17,1.57336322534782,0.361066184480914
3,18,8.05135026808411e-16,4.4019016487716e-18
3,19,0,0
3,20,0,0
3,21,0,0
3,22,0,0
3,23,0,0
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,4,0,0
4,5,0,0
4,6,10.661264355423,2.01068168098649
4,7,20.702934778628,6.07208160025002
4,8,29.5414258846051,15.4046366996566
4,9,36.6630766968831,26.3636166881449
4,10,41.6540027563996,36.2688388461941
4,11,44.2241495818538,42.722333168495
4,12,44.2241495818538,44.1602041363558
4,13,41.6540027563996,40.2394664541047
4,14,36.6630766968831,31.9231558153342
4,15,29.5414258846051,21.2425933284858
4,16,20.702934778628,10.7957276716168
4,17,10.661264355423,3.12690291594764
4,18,5.4556743314739e-15,1.02892340626963e-15
4,19,0,0
4,20,0,0
4,21,0,0
4,22,0,0
4,23,0,0
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,5,0,0
5,6,44.3953267412653,14.0978452363512
5,7,86.210558462775,33.5257612801129
5,8,123.015545889058,65.6818536403659
5,9,152.671316931585,110.557258668121
5,10,173.454385971706,150.925033757275
5,11,184.15691658019,177.134819217933
5,12,184.156916580191,182.898196492928
5,13,173.454385971706,166.840387383857
5,14,152.671316931585,132.841401112946
5,15,123.015545889058,89.0819690325412
5,16,86.210558462775,46.0305178689603
5,17,44.3953267412653,17.2645572980826
5,18,2.2718360268078e-14,7.21427119907497e-15
5,19,0,0
5,20,0,0
5,21,0,0
5,22,0,0
5,23,0,0
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,6,93.4938240839564,35.1233162883341
