"Day","Hour","Irradiance","Month","omega","delta","alpha_s","gamma_s","theta_i","IncidentFlux"
1,0,0,1,-180,-23.0116367278692,-70.0116367278692,-1.88935187245967e-14,130.011636727869,0
1,1,0,1,-165,-23.0116367278692,-66.4662182132922,-36.6281011531001,129.329084085292,0
1,2,0,1,-150,-23.0116367278692,-58.1656027518476,-60.7501825728957,127.364950733546,0
1,3,0,1,-135,-23.0116367278692,-47.9532894558152,-76.3569886709483,124.341465032149,0
1,4,0,1,-120,-23.0116367278692,-37.0982606919839,-87.990725042923,120.556647606344,0
1,5,0,1,-105,-23.0116367278692,-26.1569288321334,-82.095978957466,108.666276455984,0
1,6,80.4199410661132,1,-90,-23.0116367278692,-15.4623728611671,-72.7443412030317,95.0449601793234,0
1,7,156.166167472056,1,-75,-23.0116367278692,-5.30052678943365,-63.2375136342407,81.7101702489571,22.5161244821269
1,8,222.836583865445,1,-60,-23.0116367278692,4.0124251939299,-53.0414281032981,68.8703175140611,80.3281502476378
1,9,276.5565479826,1,-45,-23.0116367278692,12.0864955783111,-41.7278781829328,56.8918784898593,151.060911151198
1,10,314.204050773157,1,-30,-23.0116367278692,18.4432501622228,-29.0210067361858,46.4691938195927,216.40630798043
1,11,333.591156218033,1,-15,-23.0116367278692,22.5577126843103,-14.9490010053008,38.8912822462337,259.646902291527
1,12,333.591156218033,1,0,-23.0116367278692,23.9883632721308,0,36.0116367278692,269.841085301216
1,13,314.204050773157,1,15,-23.0116367278692,22.5577126843103,14.9490010053008,38.8912822462337,244.557168108432
1,14,276.5565479826,1,30,-23.0116367278692,18.4432501622228,29.0210067361858,46.4691938195927,190.476797958074
1,15,222.836583865445,1,45,-23.0116367278692,12.0864955783111,41.7278781829328,56.8918784898593,121.717954762193
1,16,156.166167472056,1,60,-23.0116367278692,4.0124251939299,53.0414281032981,68.8703175140611,56.294793012389
1,17,80.4199410661133,1,75,-23.0116367278692,-5.30052678943365,63.2375136342407,81.7101702489571,11.5949916246355
1,18,4.11531872380469e-14,1,90,-23.0116367278692,-15.4623728611671,72.7443412030317,95.0449601793234,0
1,19,0,1,105,-23.0116367278692,-26.1569288321334,82.095978957466,108.666276455984,0
1,20,0,1,120,-23.0116367278692,-37.0982606919839,87.990725042923,120.556647606344,0
1,21,0,1,135,-23.0116367278692,-47.9532894558152,76.3569886709483,124.341465032149,0
1,22,0,1,150,-23.0116367278692,-58.1656027518476,60.7501825728957,127.364950733546,0
1,23,0,1,165,-23.0116367278692,-66.4662182132922,36.6281011531001,129.329084085292,0
2,0,0,1,-180,-22.9305436083077,-69.9305436083077,-1.88316006443271e-14,129.930543608308,0
2,1,0,1,-165,-22.9305436083077,-66.3947869113409,-36.5320969086575,129.248379488622,0
2,2,0,1,-150,-22.9305436083077,-58.1071164664809,-60.6437732877175,127.285239652176,0
2,3,0,1,-135,-22.9305436083077,-47.9017229540574,-76.2635867239786,124.262952508574,0
2,4,0,1,-120,-22.9305436083077,-37.0489453280833,-87.9100411328398,120.479136307715,0
2,5,0,1,-105,-22.9305436083077,-26.1068842167325,-82.167053340697,108.656973052369,0
2,6,78.7111214918297,1,-90,-22.9305436083077,-15.4095476174248,-72.8081707604488,95.0280996530006,0
2,7,152.84783870584,1,-75,-22.9305436083077,-5.24337468090872,-63.2952882926501,81.6851312590972,22.1037824315094
2,8,218.101595113555,1,-60,-22.9305436083077,4.07507383682082,-53.0930468195718,68.8357777150779,78.7439059702819
2,9,270.680079580312,1,-45,-22.9305436083077,12.1553161559752,-41.7717493678005,56.8457842141386,148.033420443897
2,10,307.527621703918,1,-30,-22.9305436083077,18.5180733879407,-29.0539730476203,46.4091630650328,212.041439554596
2,11,326.502776271515,1,-15,-22.9305436083077,22.6370830562878,-14.9670100296336,38.8170298797567,254.39518882519
2,12,326.502776271515,1,0,-22.9305436083077,24.0694563916924,0,35.9305436083076,264.378746335353
2,13,307.527621703918,1,15,-22.9305436083077,22.6370830562878,14.9670100296336,38.8170298797567,239.610665139557
2,14,270.680079580312,1,30,-22.9305436083077,18.5180733879407,29.0539730476203,46.4091630650328,186.634922141145
2,15,218.101595113555,1,45,-22.9305436083077,12.1553161559752,41.7717493678005,56.8457842141386,119.278541586767
2,16,152.84783870584,1,60,-22.9305436083077,4.07507383682082,53.0930468195718,68.8357777150779,55.1845383457512
2,17,78.7111214918298,1,75,-22.9305436083077,-5.24337468090872,63.2952882926501,81.6851312590972,11.3826503477346
2,18,4.02787353177363e-14,1,90,-22.9305436083077,-15.4095476174248,72.8081707604488,95.0280996530006,0
2,19,0,1,105,-22.9305436083077,-26.1068842167325,82.167053340697,108.656973052369,0
2,20,0,1,120,-22.9305436083077,-37.0489453280833,87.9100411328398,120.479136307715,0
2,21,0,1,135,-22.9305436083077,-47.9017229540574,76.2635867239786,124.262952508574,0
2,22,0,1,150,-22.9305436083077,-58.1071164664809,60.6437732877175,127.285239652176,0
2,23,0,1,165,-22.9305436083077,-66.3947869113409,36.5320969086575,129.248379488622,0
3,0,0,1,-180,-22.8426556737933,-69.8426556737933,-1.87650338806843e-14,129.842655673793,0
3,1,0,1,-165,-22.8426556737933,-66.3173041058957,-36.4286653450864,129.160911620585,0
3,2,0,1,-150,-22.8426556737933,-58.0436298411716,-60.5288417571541,127.198846226403,0
3,3,0,1,-135,-22.8426556737933,-47.8457503344504,-76.1625686516715,124.177855875192,0
3,4,0,1,-120,-22.8426556737933,-36.9954362074639,-87.8227150721474,120.395123732499,0
3,5,0,1,-105,-22.8426556737933,-26.0526070460283,-82.2440143722478,108.6468469334,0
3,6,77.009116731901,1,-90,-22.8426556737933,-15.35227557587,-72.8773119891579,95.0098154699325,0
3,7,149.542743516094,1,-75,-22.8426556737933,-5.18142779771046,-63.3578919659305,81.6580113834908,21.6958595024102
3,8,213.385489612887,1,-60,-22.8426556737933,4.14296810238107,-53.1489997679556,68.7983849027554,77.1710439084066
3,9,264.827046678076,1,-45,-22.8426556737933,12.2298954154973,-41.8193221744315,56.7958850292459,145.025466081713
3,10,300.877818397482,1,-30,-22.8426556737933,18.5991596155271,-29.0897341986649,46.3441581467236,207.703483449242
3,11,319.442664957998,1,-15,-22.8426556737933,22.7231016201244,-14.9865515470332,38.7365819658264,249.175196090433
3,12,319.442664957998,1,0,-22.8426556737933,24.1573443262068,0,35.8426556737933,258.949201777374
3,13,300.877818397482,1,15,-22.8426556737933,22.7231016201244,14.9865515470332,38.7365819658264,234.694039408643
3,14,264.827046678076,1,30,-22.8426556737933,18.5991596155271,29.0897341986649,46.3441581467236,182.816734046991
3,15,213.385489612887,1,45,-22.8426556737933,12.2298954154973,41.8193221744315,56.7958850292459,116.854869902325
3,16,149.542743516094,1,60,-22.8426556737933,4.14296810238107,53.1489997679556,68.7983849027554,54.0822604526672
3,17,77.0091167319011,1,75,-22.8426556737933,-5.18142779771046,63.3578919659305,81.6580113834908,11.1725847589537
3,18,3.94077707331215e-14,1,90,-22.8426556737933,-15.35227557587,72.8773119891579,95.0098154699325,0
3,19,0,1,105,-22.8426556737933,-26.0526070460283,82.2440143722478,108.6468469334,0
3,20,0,1,120,-22.8426556737933,-36.9954362074639,87.8227150721474,120.395123732499,0
