Day,Hour,Irradiance
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,80.41994106611321
1,7,156.1661674720559
1,8,222.83658386544508
1,9,276.5565479826004
1,10,314.20405077315723
1,11,333.59115621803323
1,12,333.5911562180333
1,13,314.2040507731573
1,14,276.5565479826005
1,15,222.8365838654452
1,16,156.16616747205592
1,17,80.41994106611332
1,18,4.115318723804687e-14
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,78.71112149182972
2,7,152.84783870583982
2,8,218.10159511355465
2,9,270.68007958031166
2,10,307.5276217039176
2,11,326.50277627151473
2,12,326.5027762715148
2,13,307.5276217039177
2,14,270.6800795803117
2,15,218.10159511355477
2,16,152.84783870583988
2,17,78.71112149182983
2,18,4.027873531773627e-14
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,77.00911673190102
3,7,149.5427435160939
3,8,213.38548961288734
3,9,264.8270466780757
3,10,300.87781839748203
3,11,319.44266495799803
3,12,319.4426649579981
3,13,300.87781839748214
3,14,264.82704667807576
3,15,213.38548961288743
3,16,149.54274351609394
3,17,77.00911673190113
3,18,3.9407770733121486e-14
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,75.31443112706981
4,7,146.25186127385274
4,8,208.689664847285
4,9,258.9991836558605
4,10,294.256611334085
4,11,312.4129143408353
4,12,312.41291434083536
4,13,294.25661133408505
4,14,258.9991836558606
4,15,208.68966484728512
4,16,146.25186127385277
4,17,75.31443112706991
4,18,3.854055156980592e-14
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,73.627566849255
5,7,142.97616713854757
5,8,204.01551229096967
5,9,253.1982174352548
5,10,287.66596252027625
5,11,305.4156074868484
5,12,305.4156074868484
5,13,287.6659625202763
5,14,253.19821743525486
5,15,204.01551229096978
5,16,142.9761671385476
5,17,73.6275668492551
5,18,3.7677334803543743e-14
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,71.94902375274776
6,7,139.71663176904616
6,8,199.36441699622054
6,9,247.42586696774526
6,10,281.1078249075377
6,11,298.45281784907286
6,12,298.4528178490729
6,13,281.10782490753775
6,14,247.42586696774532
6,15,199.36441699622065
6,16,139.7166317690462
6,17,71.94902375274786
6,18,3.681837622409259e-14
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,70.27929922609339
7,7,136.47422103602486
7,8,194.73775718295207
7,9,241.6838427253526
7,10,274.5841418135798
7,11,291.52660865234736
7,12,291.52660865234736
7,13,274.58414181357983
7,14,241.68384272535263
7,15,194.73775718295215
7,16,136.47422103602491
7,17,70.27929922609349
7,18,3.596393035941736e-14
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
